               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/uai_positif_mAP,metrics/uai_negatif_mAP,metrics/uap_positif_mAP,metrics/uap_negatif_mAP,metrics/uai_positif_mAP_50,metrics/uai_negatif_mAP_50,metrics/uap_positif_mAP_50,metrics/uap_negatif_mAP_50
                  66,            0.005698,           0.0016587,           0.0012182,             0.99101,             0.98773,              0.9907,             0.97031,           0.0024904,           0.0012478,          0.00073562,             0.00415,             0.00415,             0.00415,             0.98908,             0.94372,             0.99135,             0.95709,             0.99461,             0.98791,             0.99318,             0.98711
                  67,           0.0056941,           0.0016537,           0.0010014,             0.98856,             0.99004,              0.9897,             0.97019,           0.0024605,           0.0012339,          0.00062618,             0.00406,             0.00406,             0.00406,              0.9891,             0.94332,             0.99189,             0.95644,             0.99373,             0.98426,             0.99364,             0.98718
                  68,           0.0056223,           0.0015686,          0.00084761,             0.99008,             0.98662,             0.99185,             0.97217,            0.002452,           0.0012328,          0.00073246,             0.00397,             0.00397,             0.00397,             0.99044,             0.94684,             0.99181,             0.95957,             0.99476,             0.99092,             0.99422,             0.98749
                  69,           0.0055468,           0.0015055,          0.00073635,             0.98762,             0.98822,             0.99096,             0.97211,           0.0024478,           0.0012291,          0.00076459,             0.00388,             0.00388,             0.00388,             0.99068,             0.94635,             0.99212,             0.95932,              0.9947,             0.98857,             0.99396,             0.98661
                  70,           0.0054658,           0.0015127,          0.00079774,             0.98835,              0.9911,             0.98979,             0.97168,           0.0024335,           0.0012164,          0.00057958,             0.00379,             0.00379,             0.00379,                0.99,             0.94373,             0.99119,             0.96181,             0.99416,             0.98378,              0.9934,             0.98784
                  71,           0.0052333,           0.0014945,          0.00086708,             0.98888,             0.99201,             0.99164,             0.97191,           0.0024164,            0.001218,          0.00055218,              0.0037,              0.0037,              0.0037,             0.99065,             0.94489,             0.99196,             0.96012,             0.99475,             0.99014,             0.99419,             0.98748
                  72,            0.005256,           0.0015589,           0.0009052,              0.9895,              0.9885,             0.99044,             0.97205,           0.0024044,           0.0012191,          0.00059396,             0.00361,             0.00361,             0.00361,             0.99009,             0.94723,             0.99135,             0.95952,             0.99442,             0.98661,             0.99347,             0.98726
                  73,           0.0052459,           0.0016015,           0.0010996,             0.99116,             0.98724,             0.99148,             0.97234,           0.0023885,           0.0012111,          0.00082257,             0.00352,             0.00352,             0.00352,             0.99043,             0.94745,             0.99226,             0.95922,             0.99481,             0.99059,             0.99409,             0.98642
                  74,           0.0051055,           0.0015832,           0.0010345,             0.98852,             0.98677,             0.99082,             0.97176,            0.002369,           0.0011936,          0.00088022,             0.00343,             0.00343,             0.00343,             0.99063,             0.94607,             0.99166,             0.95868,             0.99472,             0.98922,             0.99368,             0.98565
                  75,           0.0051514,           0.0015897,           0.0010549,             0.99208,             0.98609,             0.99127,             0.97363,           0.0023504,           0.0011823,          0.00086752,             0.00334,             0.00334,             0.00334,             0.99052,             0.95332,             0.99084,             0.95985,             0.99472,             0.99246,              0.9931,             0.98481
