               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,   metrics/insan_mAP,metrics/otomobil_mAP,metrics/motorsiklet_mAP,  metrics/otobus_mAP,  metrics/kamyon_mAP,metrics/diger_kara_araclari_mAP,metrics/rayli_tasit_mAP,metrics/deniz_tasiti_mAP,metrics/insan_mAP_50,metrics/otomobil_mAP_50,metrics/motorsiklet_mAP_50,metrics/otobus_mAP_50,metrics/kamyon_mAP_50,metrics/diger_kara_araclari_mAP_50,metrics/rayli_tasit_mAP_50,metrics/deniz_tasiti_mAP_50
                  31,            0.025221,           0.0078482,           0.0038915,             0.70765,             0.60686,             0.72364,             0.57094,              0.0178,           0.0055974,           0.0029781,           0.0029184,           0.0029184,           0.0029184,             0.52378,             0.81687,             0.28281,             0.41094,             0.79653,             0.75057,             0.24282,              0.7432,             0.84382,             0.98673,             0.52591,             0.47032,             0.92781,             0.85617,             0.33101,             0.84735
                  32,            0.025086,           0.0077267,           0.0038219,             0.91346,             0.58669,             0.73725,             0.58512,            0.017815,            0.005551,           0.0029347,            0.002909,            0.002909,            0.002909,             0.52719,             0.81997,              0.2951,             0.43082,             0.80044,             0.76227,             0.28106,             0.76409,              0.8465,              0.9875,             0.54466,             0.47959,             0.92857,             0.87051,             0.37258,             0.86808
                  33,            0.024975,           0.0077152,           0.0038297,              0.6982,             0.62709,             0.75174,             0.59316,            0.018306,           0.0055261,            0.002911,           0.0028996,           0.0028996,           0.0028996,             0.52638,             0.82509,             0.30466,              0.4443,             0.80049,             0.76886,             0.31012,             0.76542,             0.84917,             0.98754,             0.56648,             0.49763,             0.93333,             0.87481,             0.40814,             0.89683
                  34,            0.024862,            0.007764,           0.0037218,             0.72692,             0.64074,              0.7569,              0.5954,            0.018221,           0.0055238,           0.0028639,           0.0028902,           0.0028902,           0.0028902,             0.52699,             0.82239,             0.30862,             0.45119,             0.80337,             0.75643,             0.30705,              0.7872,             0.84987,             0.98797,             0.57292,             0.51181,             0.93216,             0.88304,             0.40338,             0.91405
                  35,            0.024691,           0.0075522,           0.0036353,             0.75811,             0.65976,             0.76257,             0.60285,            0.018246,           0.0054938,           0.0027716,           0.0028809,           0.0028809,           0.0028809,             0.52951,             0.81947,             0.31123,             0.46166,             0.80387,             0.77238,             0.32662,             0.79807,             0.85303,             0.98809,             0.57684,             0.51416,             0.93375,             0.88434,               0.425,             0.92537
                  36,            0.024504,            0.007497,            0.003534,             0.77424,               0.673,             0.77105,             0.61245,            0.017894,           0.0054771,           0.0026765,           0.0028715,           0.0028715,           0.0028715,             0.53365,             0.82502,             0.32878,             0.46423,               0.806,             0.78205,             0.34035,              0.8195,             0.85217,             0.98819,             0.61204,             0.51449,             0.93458,             0.89306,             0.43831,             0.93559
                  37,            0.024308,            0.007546,           0.0034873,             0.78741,             0.68496,             0.77432,             0.61301,            0.017773,           0.0054569,           0.0027357,           0.0028621,           0.0028621,           0.0028621,             0.53146,             0.82462,              0.3263,             0.46359,             0.80686,             0.77837,             0.35645,             0.81644,             0.85484,             0.98815,              0.6149,              0.5204,             0.93683,             0.89209,             0.44811,             0.93919
                  38,            0.024176,           0.0074117,           0.0033843,              0.7974,             0.70124,             0.77955,             0.61751,            0.017903,           0.0054602,           0.0026227,           0.0028527,           0.0028527,           0.0028527,             0.53406,             0.82573,             0.32868,              0.4759,             0.80854,             0.78408,             0.37037,             0.81274,             0.85521,             0.98783,             0.62005,             0.53294,             0.93847,             0.89642,             0.46272,             0.94278
                  39,            0.024274,            0.007485,           0.0033559,             0.81471,             0.70948,             0.78966,             0.62596,            0.017966,           0.0054387,           0.0025878,           0.0028433,           0.0028433,           0.0028433,             0.53673,             0.82558,             0.34666,             0.48591,              0.8094,             0.78293,             0.40471,             0.81574,             0.85712,             0.98842,             0.64145,              0.5428,             0.93877,             0.89546,             0.50395,             0.94929
                  40,            0.024141,           0.0075228,           0.0032747,             0.84161,             0.71441,             0.79576,             0.62919,            0.017829,           0.0054327,            0.002578,           0.0028339,           0.0028339,           0.0028339,             0.53652,             0.82619,             0.34382,             0.48702,             0.81014,             0.77943,              0.4267,              0.8237,              0.8575,             0.98872,             0.64645,             0.54422,             0.94091,             0.90169,             0.53638,              0.9502
                  41,            0.024093,           0.0074779,           0.0032676,             0.84896,             0.72141,             0.80151,             0.63496,            0.017866,           0.0054069,           0.0025288,           0.0028245,           0.0028245,           0.0028245,             0.54041,             0.82882,             0.35287,             0.49201,             0.81143,             0.79103,             0.44554,             0.81756,             0.85843,             0.98869,             0.65717,             0.55021,               0.941,              0.9047,             0.56164,             0.95028
                  42,            0.023928,             0.00743,           0.0031329,              0.8565,             0.72745,             0.80502,             0.63446,             0.01786,            0.005388,           0.0024365,           0.0028151,           0.0028151,           0.0028151,             0.54018,             0.82904,             0.36463,             0.49646,             0.81332,             0.79229,             0.41938,             0.82035,             0.85998,             0.98902,             0.67027,             0.55978,             0.94144,             0.90794,             0.55936,             0.95237
                  43,            0.023966,           0.0074151,           0.0031251,             0.85403,             0.73682,             0.80877,             0.64064,            0.017582,           0.0053813,           0.0023836,           0.0028058,           0.0028058,           0.0028058,             0.54345,             0.83057,             0.36847,             0.50066,             0.81481,             0.79619,             0.44583,             0.82513,             0.86232,             0.98897,             0.68772,             0.56563,             0.94403,             0.91169,             0.56126,             0.94856
                  44,            0.023538,            0.007234,           0.0030363,              0.8611,             0.73997,             0.81339,             0.64432,            0.017726,           0.0053651,           0.0023179,           0.0027964,           0.0027964,           0.0027964,             0.54174,             0.83247,             0.37325,             0.50715,             0.81523,             0.79716,             0.46127,             0.82631,             0.86285,             0.98882,             0.69574,             0.57029,             0.94215,             0.90917,             0.57934,             0.95876
                  45,            0.023544,           0.0074172,           0.0030535,             0.85432,             0.74295,             0.81692,             0.64894,            0.017502,           0.0053619,            0.002327,            0.002787,            0.002787,            0.002787,              0.5435,             0.83025,             0.37858,             0.51101,             0.81689,             0.79803,             0.48767,             0.82559,             0.86041,             0.98892,             0.69486,             0.57285,             0.94451,             0.91046,             0.60976,             0.95359
                  46,            0.023725,           0.0075625,           0.0029308,             0.85865,             0.74527,             0.82257,             0.65318,            0.017547,           0.0053443,           0.0023058,           0.0027776,           0.0027776,           0.0027776,             0.54651,             0.83056,             0.37791,             0.51009,             0.81856,             0.80037,             0.51495,             0.82653,             0.86384,             0.98879,             0.69407,             0.58205,             0.94543,             0.91541,             0.63967,             0.95127
                  47,            0.023399,            0.007249,           0.0028111,             0.87666,             0.74134,             0.82602,             0.65509,            0.017469,           0.0053343,           0.0022483,           0.0027682,           0.0027682,           0.0027682,             0.54491,             0.83149,             0.38229,             0.52241,             0.82081,             0.79403,             0.51311,             0.83166,              0.8646,              0.9886,             0.69527,             0.58847,              0.9466,             0.91565,             0.65192,             0.95702
                  48,            0.023385,           0.0073614,           0.0028899,             0.86683,             0.74605,             0.82911,             0.66036,            0.017153,           0.0053151,           0.0022287,           0.0027588,           0.0027588,           0.0027588,             0.54835,             0.83316,             0.38432,              0.5291,             0.82266,             0.80434,             0.52634,             0.83463,             0.86601,              0.9889,              0.6945,             0.59913,             0.94737,             0.91784,             0.66206,             0.95706
                  49,            0.023196,           0.0072253,           0.0028024,             0.85198,             0.75691,             0.83085,              0.6625,            0.017168,           0.0053063,           0.0021593,           0.0027494,           0.0027494,           0.0027494,             0.54778,             0.83471,             0.39419,             0.53672,             0.82535,             0.79997,             0.52589,             0.83543,             0.86582,             0.98923,              0.7128,             0.60519,             0.94839,             0.90783,             0.66483,             0.95269
                  50,            0.023027,           0.0072063,           0.0027689,             0.86261,             0.75051,             0.83578,             0.66507,             0.01731,           0.0053006,           0.0021516,           0.0027401,           0.0027401,           0.0027401,             0.54832,             0.83427,             0.38987,             0.54557,             0.82378,             0.79905,             0.55836,             0.82136,             0.86554,             0.98927,             0.70567,             0.61274,             0.94853,             0.91269,             0.69367,             0.95809
                  51,            0.022835,           0.0071718,           0.0026735,             0.87665,             0.74927,             0.83995,             0.67108,            0.016842,           0.0052943,           0.0020875,           0.0027307,           0.0027307,           0.0027307,             0.54754,             0.83539,             0.40024,             0.55314,             0.82303,             0.79976,             0.57174,             0.83781,             0.86681,             0.98954,             0.71631,             0.62278,             0.95087,             0.91466,             0.70071,             0.95793
                  52,            0.023014,           0.0072736,           0.0027146,              0.8929,              0.7443,             0.84128,             0.67152,            0.016453,           0.0052801,           0.0020794,           0.0027213,           0.0027213,           0.0027213,             0.54861,              0.8351,             0.39743,             0.55892,              0.8242,             0.79943,             0.57354,             0.83492,             0.86635,             0.98964,             0.71381,              0.6355,             0.95067,             0.90976,             0.70895,             0.95555
                  53,             0.02314,           0.0072215,            0.002709,             0.89287,             0.74785,             0.84811,             0.67592,            0.016771,           0.0052781,           0.0020683,           0.0027119,           0.0027119,           0.0027119,             0.54915,             0.83589,              0.3991,             0.57008,             0.82624,             0.80133,             0.58411,             0.84146,             0.86785,              0.9896,             0.71544,             0.64768,             0.95063,             0.91611,             0.74018,             0.95739
                  54,            0.022931,           0.0071649,           0.0026356,             0.85596,             0.77422,             0.84935,             0.67894,            0.016628,           0.0052692,           0.0020436,           0.0027025,           0.0027025,           0.0027025,             0.55039,             0.83585,             0.40578,             0.57156,              0.8263,             0.80393,             0.60012,             0.83755,             0.86989,             0.98929,             0.72851,              0.6449,             0.95185,             0.91399,              0.7394,             0.95697
                  55,            0.022978,           0.0072637,           0.0026198,              0.8595,             0.77182,             0.85229,             0.68251,            0.016969,           0.0052707,           0.0019984,           0.0026931,           0.0026931,           0.0026931,             0.55061,             0.83458,             0.40929,             0.57999,             0.82802,              0.8027,             0.60759,             0.84734,             0.86773,             0.98922,             0.72781,             0.65364,             0.95185,             0.91823,             0.75097,             0.95887
                  56,            0.022742,           0.0070716,            0.002525,             0.86434,             0.78371,             0.85731,             0.68793,            0.016631,           0.0052571,           0.0019778,           0.0026837,           0.0026837,           0.0026837,             0.55208,             0.83784,              0.4118,             0.59289,             0.82815,             0.80629,             0.62849,             0.84592,             0.87056,             0.98943,             0.73008,             0.67126,             0.95271,              0.9178,             0.76648,             0.96013
                  57,            0.022767,            0.007189,           0.0025284,             0.84771,             0.79116,             0.85748,             0.68515,            0.016919,           0.0052446,           0.0019932,           0.0026743,           0.0026743,           0.0026743,             0.55267,             0.83723,             0.41272,             0.59163,             0.82955,             0.80793,             0.60524,             0.84425,             0.87055,             0.98911,             0.73513,             0.67227,             0.95242,             0.91898,              0.7609,             0.96045
                  58,            0.022719,           0.0071595,           0.0025152,              0.8455,             0.80185,             0.86147,                0.69,            0.016987,           0.0052283,           0.0019333,            0.002665,            0.002665,            0.002665,             0.55482,             0.83788,             0.41709,             0.60614,              0.8301,             0.80787,             0.62497,             0.84111,             0.87274,             0.98986,             0.74259,             0.68359,             0.95365,             0.92019,             0.76949,             0.95964
                  59,            0.022533,           0.0070768,           0.0024818,             0.85355,              0.8027,             0.86554,             0.69333,            0.017176,           0.0052223,           0.0019266,           0.0026556,           0.0026556,           0.0026556,             0.55567,             0.83798,             0.41798,             0.61477,             0.83113,             0.81013,             0.63977,             0.83919,             0.87348,              0.9894,              0.7375,             0.69974,             0.95538,             0.92163,             0.78411,             0.96309
                  60,            0.022352,           0.0070598,           0.0024021,             0.86091,             0.80642,             0.86853,             0.69599,            0.016974,           0.0052037,           0.0019057,           0.0026462,           0.0026462,           0.0026462,             0.55563,             0.83907,             0.42167,             0.61946,              0.8329,             0.80832,             0.64793,             0.84298,              0.8736,             0.98933,             0.74098,             0.70246,              0.9556,             0.92082,             0.80185,             0.96359
                  61,             0.02242,           0.0070059,           0.0023696,              0.8657,             0.81132,             0.87061,             0.70035,            0.016957,           0.0052009,           0.0018595,           0.0026368,           0.0026368,           0.0026368,              0.5569,             0.83859,             0.42589,             0.62759,             0.83332,             0.81293,              0.6625,             0.84509,             0.87362,             0.98961,             0.74779,             0.71174,             0.95536,             0.92095,             0.80719,             0.95864
                  62,            0.022421,           0.0071524,           0.0023867,             0.86796,             0.82043,             0.87215,             0.70149,            0.016936,           0.0051984,           0.0018262,           0.0026274,           0.0026274,           0.0026274,             0.55712,             0.84038,             0.42676,             0.62373,             0.83525,             0.80551,             0.67191,             0.85123,             0.87406,             0.98966,             0.74828,              0.7168,             0.95573,             0.91788,             0.80764,             0.96716
                  63,            0.022405,           0.0070659,           0.0023069,             0.86979,             0.82459,              0.8724,              0.7022,            0.017139,           0.0051837,           0.0018329,            0.002618,            0.002618,            0.002618,             0.55863,             0.84014,             0.42697,             0.63264,             0.83336,             0.80772,              0.6679,             0.85028,             0.87533,              0.9901,             0.75023,             0.71923,             0.95554,             0.91792,             0.80917,             0.96168
                  64,            0.022393,           0.0070848,           0.0023784,              0.8726,             0.82717,             0.87479,             0.70292,            0.016884,            0.005179,           0.0017926,           0.0026086,           0.0026086,           0.0026086,             0.55825,             0.84041,             0.42803,             0.63707,             0.83457,             0.80947,             0.67457,             0.84099,             0.87421,             0.98989,               0.751,             0.72854,             0.95684,             0.92202,             0.81667,             0.95918
                  65,            0.021993,           0.0068877,           0.0022649,             0.87524,              0.8259,             0.87659,             0.70418,             0.01679,           0.0051728,            0.001779,           0.0025993,           0.0025993,           0.0025993,             0.55956,             0.84149,             0.42734,             0.64731,             0.83563,             0.80769,             0.66928,             0.84515,             0.87507,             0.99009,             0.75171,             0.73945,             0.95729,             0.91856,             0.81672,             0.96384
